user/id,user/name,user/profilePic,user/profileUrl,text,likesCount,sharesCount,commentsCount,date,url
100067080068900,jalopy_jeff,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/281521562_328961749322695_5888042515919025985_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=hyg9xrlxfdgq7knvggpb1tx&_nc_ht=scontent-hou1-1.xx&oh=00_aych_mnn1rupsw9eym_a1opuj6y7-7cr9ttdac15lb4e9a&oe=66c1ea66,https://www.facebook.com/jalopyjeff.fb,"rotary powered dominos pizza delivery 

 domino rotary brap rotaryengine",16042,2583,708,2023 12 11t15:29:03.000z,https://www.facebook.com/reel/1536660797153305/
100076859062536,megha chaube,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/332162353_1170561323663952_1739050498350067999_n.jpg?stp=cp6_dst-jpg_p40x40&_nc_cat=111&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=tdy3mbp6lv8q7knvgghwbww&_nc_ht=scontent-hou1-1.xx&oh=00_aybgvw60f_ztaithj_npuljhigjne_xtibau1e_bjqr4sg&oe=66c1daf8,https://www.facebook.com/meghachaube01,"spicy cheese pizza️ 
 
 
 short trendingshort foodlover pizza pizzalover domino tasty viral meghachaube",19292,11,20,2023 10 16t14:05:09.000z,https://www.facebook.com/reel/251570450802985/
100064572047090,mr. chimetime,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/350632130_969319024263167_2416535618798703156_n.jpg?stp=cp6_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=9wmw-ity1maq7knvgeylbgb&_nc_ht=scontent-hou1-1.xx&oh=00_ayasfj12ouwg7o2hrqnqhdb_q8t8kjyq8ms-8xdfp0oqbq&oe=66c1edb1,https://www.facebook.com/mr.chimetime,try domino pizza mix match deal   ad ncfoodie travelfoodie mukbang tastet foodreview foodcritic domino,7081,221,740,2023 12 23t01:06:43.000z,https://www.facebook.com/reel/315724671431606/
100088928943568,karissaeat,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/320222307_899071741503240_5793779928849548368_n.jpg?stp=c0.1.40.40a_cp0_dst-jpg_p40x40&_nc_cat=102&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=qkksw6yrygcq7knvghasa6v&_nc_ht=scontent-hou1-1.xx&oh=00_ayau61ab97gkvc7yay71q-1usgpgkj-ddwm5tv8lkg07_g&oe=66c1bd65,https://www.facebook.com/karissaeatsfb,eat domino new zealand foodie reel newzealand domino pizza eat fastfood,20700,122,95,2023 03 17t20:05:23.000z,https://www.facebook.com/reel/166708532852767/
100092992715820,jelly bean sweet,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/376578379_201154816314122_6306306846154372225_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=110&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=qlacgrs4hasq7knvgfsouoe&_nc_ht=scontent-hou1-1.xx&oh=00_ayarozvph5gnteqzytxarlskuzkf78doswllpj0vrxawcq&oe=66c1c9bd,https://www.facebook.com/people/jelly-bean-sweets/100092992715820/,mukbang pizza domino newyorkstyle cheesecake cake lavacake sauce food#foodie mukbang eatingasmr#eating#eat,324,4,58,2024 08 07t11:37:12.000z,https://www.facebook.com/reel/506808708528954/
61563398717201,marble chain,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/454298602_122106392696446623_4518694975268429700_n.jpg?stp=c0.7.40.40a_cp0_dst-jpg_p40x40&_nc_cat=109&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=fwvdihtjxt0q7knvgg6m9ew&_nc_ht=scontent-man2-1.xx&oh=00_ayaiym7bdocdf8qdkd5fwacfdybvko7ntg9i7xk6be7waq&oe=66c1c85a,https://www.facebook.com/people/marble-chain/61563398717201/,marble chain reaction table marblerun rubegoldberg rubegoldbergmachine domino asmr,741,122,19,2024 08 08t18:43:45.000z,https://www.facebook.com/reel/582028197486694/
100063625120822,izzy insane,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/409223627_845127197618110_3307213158692238897_n.jpg?stp=cp6_dst-jpg_p40x40&_nc_cat=104&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=6eypeqg01sqq7knvgeerl3u&_nc_ht=scontent-man2-1.xx&oh=00_ayc-1zglj-z7oglmpgg4hfvfijhnw74m2tz-nus4hwx1ma&oe=66c1e24b,https://www.facebook.com/izzyinsaneofficial,work domino like domino pizza customerservice reel fastfood foryou dominospizza comedyreel comedyskit pizzatime,3014,142,224,2024 03 23t01:29:53.000z,https://www.facebook.com/reel/651582150427206/
100044365482107,corbucci eat,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/275449130_504422307713281_8876236734513186296_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=j7rzmxr7ovsq7knvgfjtwrq&_nc_ht=scontent-man2-1.xx&oh=00_aybsjs_rjaxmw1s8iffsyzhpdatoyfofzlmjsvznluhlww&oe=66c1c2ac,https://www.facebook.com/corbuccieat,comi uma pizza inteira em menos de um minuto short pizza dominos   recordemundial,7309,40,122,2024 03 30t15:04:42.000z,https://www.facebook.com/corbuccieats/videos/934680187921948/
100080034169654,car performance,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/335425761_657752739688796_5929774419056669540_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=101&ccb=1-7&_nc_sid=f4b9fd&_nc_ohc=x-zk9p_6c2qq7knvggcw6ve&_nc_ht=scontent-man2-1.xx&oh=00_ayarrkzusocbywai20xh4j9db0-oekzz9ckwxjsw6ylb3q&oe=66c1e3cd,https://www.facebook.com/people/car-performance/100080034169654/,dominos coupon code domino pizza coupon fintok moneytok johnsfinancetip,12866,2570,410,2024 03 06t06:34:17.000z,https://www.facebook.com/reel/1071197150775532/
100014380143322,stan van gorden,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/444139533_1824562438033077_4231602466305503137_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=105&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=8vprswb0dgaq7knvgers-jm&_nc_ht=scontent-man2-1.xx&oh=00_aydk00tdnszhdd-dzyfvqmankezadlhqtttd8wz5oujz2q&oe=66c1c460,https://www.facebook.com/intisar.basha.7,4 dominos pizza challenge asmr asmrsound asmrtiktok asmrfood asmreate mukbang mukbangeatingshow mukbang mukbangvideo eat eat eatingshow eatfood eatingsound eatingasmr goodfood domino pizza   video youtube bandana.eats1,596,14,53,2024 07 22t20:03:17.000z,https://www.facebook.com/reel/500250285726102/
100037768264156,mammas doll namrata saha,https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-1/452449362_1166341731301425_8148456727067083606_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=107&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=pk0x17nq8i8q7knvgfxzkpn&_nc_ht=scontent-man2-1.xx&oh=00_aycbtkeaexbicma2kdwbgvf-ysrzbotuvop7tuvqu2pgxw&oe=66c1f356,https://www.facebook.com/mammasdollnamrata.saha,sangita sarkar 1millio foll foll domino viral agartala papular friendshipgoal,35,0,29,2024 08 07t05:29:38.000z,https://www.facebook.com/reel/1188928605770326/
100086251283669,sharif ceasar,https://scontent.fpgz1-1.fna.fbcdn.net/v/t39.30808-1/384127782_286834960868211_3655629926291859276_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=1&ccb=1-7&_nc_sid=50d2ac&_nc_ohc=mlkeb7l_ociq7knvgfaloca&_nc_ht=scontent.fpgz1-1.fna&oh=00_aycthstwi3tgsj_h0hzbtop4fyzvnwpo4ctvajzdajmc1a&oe=66c1db7b,https://www.facebook.com/threalmelaninking,50 discount domino savemoney domino,5419,2698,211,2023 10 14t22:13:00.000z,https://www.facebook.com/reel/1284429522438486/
100044509353138,jaron myers,https://scontent.fpgz1-1.fna.fbcdn.net/v/t1.6435-1/145761459_259818798845097_8825462172930710444_n.jpg?stp=cp0_dst-jpg_p40x40&_nc_cat=106&ccb=1-7&_nc_sid=616b0e&_nc_ohc=en4hkbbhzyyq7knvghuqbpt&_nc_ht=scontent.fpgz1-1.fna&oh=00_aydioolhala5fygt6qwiexmp5u9cn2yukcp1eehtnvujoq&oe=66e375e1,https://www.facebook.com/jaronmyerscomedy,order pizza different place make race finish thing learn night live delivery domino pizzahut pizza deliverydriver doordash amazon podcast liveshow standup standupcomedy reel comedyreel win,21779,1162,122,2023 03 30t23:04:00.000z,https://www.facebook.com/reel/1906097856419183/
